ttest_pvalue_adj	mwu_pvalue_adj	log2enr	gex_cluster	tcr_cluster	feature	mean_fg	mean_bg	num_fg	clone_index	mait_fraction	nbr_frac	graph_type
8.853551225341318e-21	4.724602231667019e-45	2.078448962542881	0	11	EPHB6	0.6636809706687927	0.20132242143154144	546	152	0.0	0.1	tcr_nbr
4.6265460764064464e-21	8.154886555738367e-45	2.1168795270364247	0	11	EPHB6	0.6736857295036316	0.20020920038223267	546	3647	0.0	0.1	tcr_nbr
9.235550870224494e-21	1.550306374735611e-44	2.0879152456774084	0	11	EPHB6	0.6661388874053955	0.20104892551898956	546	3334	0.0	0.1	tcr_nbr
9.24607694896754e-21	1.982236058767762e-44	2.10401726758483	0	11	EPHB6	0.6703295111656189	0.20058263838291168	546	4456	0.0	0.1	tcr_nbr
1.0675815618882003e-20	9.269750797476832e-44	2.1030801772146206	0	11	EPHB6	0.6700853109359741	0.20060981810092926	546	4787	0.0	0.1	tcr_nbr
1.728936710478448e-20	1.1648075011464515e-43	2.098520576636429	0	11	EPHB6	0.6688976287841797	0.2007419764995575	546	3661	0.0	0.1	tcr_nbr
3.5461175230592137e-20	1.9896786572202724e-43	2.0441203372085326	0	11	EPHB6	0.6548033356666565	0.2023102343082428	546	2170	0.0	0.1	tcr_nbr
3.6667190550297114e-20	2.0001831298242046e-43	2.0457332707896447	0	11	EPHB6	0.6552191972732544	0.2022639662027359	546	4347	0.0	0.1	tcr_nbr
6.372730959766936e-20	5.42764605679703e-43	2.0280703065797336	0	11	EPHB6	0.6506720781326294	0.2027699053287506	546	4087	0.0	0.1	tcr_nbr
3.466266001366876e-20	1.275678788505142e-42	2.075525617590491	0	11	EPHB6	0.6629227995872498	0.201406791806221	546	2411	0.0	0.1	tcr_nbr
3.894790254242624e-20	1.612407615716732e-42	2.0799213263087744	0	11	EPHB6	0.6640629768371582	0.2012799084186554	546	499	0.0	0.1	tcr_nbr
7.704664548519551e-20	1.772290734239655e-42	2.0607607433628385	0	11	EPHB6	0.6590996384620667	0.20183219015598297	546	4594	0.0	0.1	tcr_nbr
9.574263541610132e-20	3.048483074933604e-42	2.052772767605744	0	11	EPHB6	0.6570355892181396	0.20206184685230255	546	3319	0.0	0.1	tcr_nbr
5.213353538074877e-20	4.569598959296757e-42	2.0828262125299903	0	11	EPHB6	0.6648170351982117	0.20119602978229523	546	2703	0.0	0.1	tcr_nbr
6.460939192332683e-20	5.411153670087052e-42	2.0699951315397533	0	11	EPHB6	0.6614894866943359	0.20156624913215637	546	4196	0.0	0.1	tcr_nbr
9.567884971767232e-20	8.089639464727766e-42	2.0465811117358417	0	11	EPHB6	0.6554378271102905	0.20223963260650635	546	5271	0.0	0.1	tcr_nbr
7.448545492444638e-20	8.155376851310225e-42	2.056719936563943	0	11	EPHB6	0.6580551266670227	0.2019484043121338	546	2123	0.0	0.1	tcr_nbr
8.510633642524785e-20	9.874113882768227e-42	2.0748249729708235	0	11	EPHB6	0.6627411246299744	0.20142699778079987	546	2728	0.0	0.1	tcr_nbr
7.020742420732728e-20	1.5043791600029012e-41	2.0801093810694353	0	11	EPHB6	0.6641117930412292	0.20127448439598083	546	640	0.0	0.1	tcr_nbr
2.3723762064820053e-19	2.4838492599889435e-41	2.0231506907467587	0	11	EPHB6	0.6494082808494568	0.20291052758693695	546	4727	0.0	0.1	tcr_nbr
2.3859991856922415e-19	3.8277539313693736e-41	2.022602640711524	0	11	EPHB6	0.6492676138877869	0.20292620360851288	546	4063	0.0	0.1	tcr_nbr
1.4447576348952459e-19	4.754805441251366e-41	2.058830164049113	0	11	EPHB6	0.6586005091667175	0.20188772678375244	546	2764	0.0	0.1	tcr_nbr
5.524737035038987e-19	5.977538581810597e-41	1.9993169705970089	0	11	EPHB6	0.6433023810386658	0.20358994603157043	546	2691	0.0	0.1	tcr_nbr
5.21823980094921e-19	2.2923700471288047e-40	1.9991854528340667	0	11	EPHB6	0.6432687640190125	0.2035936862230301	546	0	0.0	0.1	tcr_nbr
3.8532631860776027e-19	2.6132118970427213e-40	2.0365807428611875	0	11	EPHB6	0.6528611183166504	0.20252634584903717	546	1939	0.0	0.1	tcr_nbr
1.589929478540017e-18	4.614502755336603e-40	1.9537449478457856	0	11	EPHB6	0.6317051649093628	0.20488035678863525	546	726	0.0	0.1	tcr_nbr
6.472206595287417e-19	6.53314025322378e-40	2.019818226925761	0	11	EPHB6	0.6485528945922852	0.20300571620464325	546	897	0.0	0.1	tcr_nbr
2.698767354761712e-19	8.206084249298356e-40	2.068669364668782	0	11	EPHB6	0.6611461639404297	0.2016044706106186	546	3663	0.0	0.1	tcr_nbr
3.9669218072311084e-19	1.053580195453135e-39	2.053925879677156	0	11	EPHB6	0.6573333740234375	0.20202872157096863	546	2149	0.0	0.1	tcr_nbr
1.6740417243740214e-18	1.4387351475005949e-39	1.977854869066396	0	11	EPHB6	0.6378278732299805	0.20419909060001373	546	5303	0.0	0.1	tcr_nbr
1.0420718976478053e-18	1.965029632207521e-39	2.0108331891649533	0	11	EPHB6	0.6462492346763611	0.20326204597949982	546	5072	0.0	0.1	tcr_nbr
4.940390195843808e-19	3.267354862311435e-39	2.048124410458081	0	11	EPHB6	0.6558359265327454	0.20219534635543823	546	1165	0.0	0.1	tcr_nbr
5.05118088165238e-19	3.753861944960327e-39	2.048997406741407	0	11	EPHB6	0.6560611128807068	0.202170267701149	546	1488	0.0	0.1	tcr_nbr
1.2577355795634596e-18	5.627447452081124e-39	2.0111094495303377	0	11	EPHB6	0.6463199853897095	0.20325416326522827	546	5399	0.0	0.1	tcr_nbr
1.2917082877392302e-18	5.816083896469574e-39	2.0209381379707967	0	11	EPHB6	0.6488403081893921	0.20297373831272125	546	2599	0.0	0.1	tcr_nbr
2.07839020069261e-18	6.38241483579234e-39	1.9954927273888041	0	11	EPHB6	0.642325222492218	0.20369866490364075	546	3680	0.0	0.1	tcr_nbr
