"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAV8-6",0.0085366864130673,-1.99085308814074,0.019,0.109,1
"TRIM26",0.00856674028436285,-0.90763029240393,0.121,0.291,1
"ZNF71",0.00885121664837496,1.25401520770912,0.093,0,1
"GSPT1",0.00888457495993664,-0.971278645907125,0.43,0.673,1
"SQOR",0.00905977352066742,-0.418024626151595,0.262,0.436,1
"SLC25A3",0.00914207933446697,-0.347546688521917,0.794,0.782,1
"SGO2",0.00922775897081979,-0.28378156155067,0.047,0.109,1
"EMC4",0.00942459568203677,0.728094824961667,0.477,0.382,1
"DDX19B",0.00951446346877366,-0.352828681171534,0.14,0.309,1
"MSL1",0.00965345381682683,0.448457481110166,0.318,0.164,1
"ZNF836",0.00976241552669837,-0.740163354921963,0.037,0.145,1
"ZNF384",0.00995896718045834,0.240483719606247,0.28,0.345,1
"CRELD2",0.0101738565141068,-0.595245649781512,0.224,0.436,1
"CPNE8",0.0105310000854199,1.22927290619717,0.065,0,1
"TBC1D5",0.0106096886006161,-0.843742625436713,0.262,0.491,1
"MYO19",0.0107540929031793,1.26436431871532,0.084,0,1
"TOMM22",0.0107693146110608,0.560883131579903,0.523,0.491,1
"PSMG3",0.010865865806968,0.333843484096934,0.206,0.236,1
"SAMD4B",0.010886845127073,1.32503476266649,0.15,0.018,1
"USP40",0.0109219904916784,-1.17957213715818,0,0.073,1
"ENTPD1",0.0109219904916784,-1.77577346273858,0,0.073,1
"TRAV8-3",0.0109219904916785,-1.42719922469717,0,0.073,1
"CPA5",0.0117118559114753,-0.884069671105117,0,0.073,1
"AC008691.1",0.0117118559114754,-0.902308501684479,0,0.073,1
"AC016773.1",0.0117118559114754,-1.2588553539412,0,0.073,1
"RELB",0.0117880790442651,1.07122295548274,0.402,0.218,1
"POP5",0.0120801916719896,-0.857150789784155,0.364,0.582,1
"LIPE-AS1",0.0123201696846127,-0.985133354509937,0,0.073,1
"SF3B1",0.0123640135393282,-0.465466122156653,0.794,0.764,1
"SH3BP1",0.0124159026582518,0.482362499463262,0.393,0.4,1
"DENND4C",0.0127058145772732,-0.681804835169799,0.234,0.455,1
"STRIP1",0.0128052537104433,-0.156874908882757,0.168,0.273,1
"ZDHHC9",0.0128593936260266,-0.687105955477402,0,0.055,1
"LINC00630",0.0128593936260266,-0.868967530778588,0,0.055,1
"ZFP69",0.0128593936260268,-0.458463962350458,0,0.055,1
"SIRT3",0.0130351302857326,-0.681423791913831,0.028,0.127,1
"L3HYPDH",0.0131972940576843,0.873340510998442,0.065,0,1
"MGME1",0.0132160607935702,-1.21509994406778,0.028,0.127,1
"ZNF624",0.0132425827986362,-0.679687376547468,0,0.055,1
"FTH1",0.0132502946563276,-0.465076756236138,0.953,0.982,1
"EHD4",0.0133142110218123,1.33619022015739,0.271,0.109,1
"PSME4",0.0134120942030381,-1.10455799254231,0.103,0.273,1
"FEM1B",0.0134946935232955,1.61706565681967,0.252,0.073,1
"ZFYVE26",0.013496617554693,1.68944321636658,0.15,0.018,1
"SENP5",0.0138318187855914,-1.4092555516271,0.065,0.218,1
"ENOX2",0.0138436881053494,-0.282810243155409,0.178,0.091,1
"LAT",0.0139334026887107,-0.18584178546024,0.972,0.891,1
"THEM4",0.0142554631384094,0.948785726600657,0.224,0.182,1
"ABCC1",0.014295795678535,-1.13034039320534,0.121,0.364,1
"TUBA8",0.0144166342384523,-0.619501218783197,0,0.055,1
"GNLY",0.0144166342384523,-0.858818190113912,0,0.055,1
"KLHDC2",0.014540206845608,-0.545018110175544,0.271,0.491,1
"UCKL1",0.0146406033778485,-1.17925692314926,0.084,0.218,1
"APPL2",0.0147087053371928,-0.821810367842181,0.112,0.255,1
"MRPL11",0.0147254459754865,-0.223140819808634,0.28,0.455,1
"MED30",0.0149429473625697,-0.694400517187325,0.243,0.455,1
"NSF",0.0153458636163171,1.14408873334013,0.327,0.2,1
"GPN3",0.015356370431265,-0.879772818925956,0.056,0.182,1
"COX15",0.0154759241988609,-0.944470552032319,0.121,0.291,1
"DENND1C",0.0154960135804291,-0.181800998561383,0.318,0.455,1
"ZBTB10",0.0156234590695789,0.967115229607018,0.486,0.327,1
"ADARB2",0.0157222555420065,-0.0229483894983373,0.178,0.091,1
"SMAD3",0.0159477627301195,-0.828241213233889,0.234,0.327,1
"MLXIP",0.0159628287794631,-0.801698261330545,0.121,0.273,1
"TRAFD1",0.0160913611202843,-1.41245648518083,0.131,0.364,1
"WASHC1",0.0162701198529775,-0.301906886378276,0.206,0.364,1
"FAM172A",0.0163515346601466,-1.10306886093971,0.187,0.4,1
"GATD1",0.0165023320193977,1.38692159366813,0.084,0,1
"RAB29",0.0165110532299406,1.3116897237079,0.271,0.127,1
"SUMO1",0.0165397717809163,0.236863083623341,0.533,0.6,1
"EIF3K",0.0167062364969203,-0.150225363203523,0.916,0.855,1
"FAHD2A",0.0167176347552179,-1.18981751928101,0.084,0.218,1
"SLC30A3",0.0167296388545168,-1.69811099040894,0.009,0.091,1
"FGFBP3",0.0167649839414347,-0.806192195338533,0.009,0.073,1
"CEBPZ",0.0169078180455568,0.428564546057174,0.505,0.309,1
"TXNIP",0.0170753131353338,-0.336764893567196,0.551,0.727,1
"PIP4P2",0.017184245070379,-0.917131334116863,0.215,0.436,1
"AL009179.1",0.0171980212066167,1.07273934672918,0.075,0,1
"RHOG",0.0172649627708501,0.162250466862192,0.673,0.764,1
"HMGCL",0.0172650675497341,-1.26441108360684,0.075,0.236,1
"RAP2B",0.0174149636394008,-0.896608907834907,0.196,0.364,1
"PTPN13",0.0174936547234037,-0.864816186286912,0.009,0.073,1
"MANEAL",0.0175668595140836,1.11510973510092,0.065,0,1
"ZNF226",0.0176514063244155,-0.802430329098197,0.093,0.255,1
"TNIP3",0.0177074482591736,-0.929529592483709,0.009,0.073,1
"ZNF451",0.01788373559933,-1.01382730871977,0.206,0.4,1
"TXNDC15",0.0178951975892042,-1.15854117095658,0.159,0.382,1
"RB1",0.017980713574674,-0.463656632502074,0.243,0.455,1
"SLC25A36",0.0180902201345535,-0.872900385113884,0.224,0.455,1
"XRCC1",0.0182654715522794,-0.195496214371848,0.206,0.327,1
"ZNF546",0.0183566366779163,-0.461059631991042,0.009,0.055,1
"ERI2",0.0183566366779166,-0.498864457496531,0.009,0.055,1
"NABP1",0.0185631219707512,0.289136948402622,0.187,0.236,1
"TUBG1",0.0186048967439052,-1.13381898423635,0.065,0.218,1
"IPO4",0.0186050992600786,1.29113061065972,0.075,0,1
