"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VPS53",0.0194933479380558,0.740878949919478,0.231,0.154,1
"IL16",0.0195341833502768,0.389594808377457,0.949,0.904,1
"NUDCD3",0.0196446093931586,0.128676839642769,0.244,0.173,1
"SLC9A7",0.0196522278916505,-0.595824684269914,0.026,0.154,1
"ZNF124",0.0196553751656071,1.43248391649567,0.103,0,1
"LSM8",0.0197470234100631,0.469190672753093,0.615,0.442,1
"GALNT10",0.0197588899727694,0.736483390581533,0.295,0.192,1
"EGR1",0.0198507314075553,-1.88749467336095,0.051,0.115,1
"LINC02361",0.0198543564891005,-0.236936686871569,0.115,0.192,1
"CIB1",0.0200344333330324,0.408422664596434,0.859,0.808,1
"RPL18",0.0200481268424211,-0.0886850524886187,1,1,1
"LINC01128",0.0202715321130998,-1.07607652631175,0.064,0.269,1
"ARFGAP1",0.0202733217412796,-0.363065385274724,0.077,0.173,1
"CCHCR1",0.0206769871825293,1.29896072944143,0.09,0,1
"HPS5",0.0209021554139303,0.328732489717427,0.128,0.115,1
"TOR4A",0.0209138189785704,-1.32576694655364,0.013,0.115,1
"RPL23",0.0209660964247763,0.261110316059449,0.923,0.827,1
"HIGD2A",0.0210354472437999,-0.207716284379781,0.731,0.75,1
"ADAT1",0.0210603403952579,1.26979748914776,0.128,0.019,1
"CAT",0.0210877092213768,0.469139855293208,0.282,0.173,1
"PFKM",0.0212665729949142,-0.834520599768422,0.013,0.077,1
"SLC26A6",0.0212732907680057,-1.23972450682153,0.013,0.135,1
"PSTPIP1",0.021588409164709,-0.849095248886211,0.333,0.615,1
"HNRNPA2B1",0.0216720917280838,0.136902192452764,0.987,0.981,1
"SPCS1",0.0216763808447998,0.459662656105998,0.872,0.846,1
"TIGIT",0.0218597438186751,0.314736299012577,0.808,0.635,1
"SEC23IP",0.0218751210139065,-0.0443427510467034,0.218,0.135,1
"ZNF417",0.0219161647800734,-1.02540521250933,0,0.058,1
"AC064807.1",0.0219161647800737,-1.12419480929869,0,0.058,1
"MTRNR2L12",0.0219161647800739,-0.946262107688393,0,0.058,1
"NT5M",0.021916164780074,-1.15913680723827,0,0.058,1
"MMD",0.0219161647800741,-0.855890662533444,0,0.058,1
"OSGEP",0.0219727160348811,0.951245920293267,0.321,0.212,1
"GRPEL2",0.0221296259274933,-1.15400438071946,0.013,0.135,1
"PCMTD1",0.0221507539359575,-1.02257616398245,0.256,0.442,1
"HIPK2",0.022276607167498,0.960782981084839,0.346,0.212,1
"NF2",0.0223774870976056,0.71617937325786,0.141,0.096,1
"LRRC8A",0.0227071801908368,1.46638413608807,0.179,0.038,1
"PML",0.0227131777422971,0.634366440905624,0.333,0.25,1
"GPRIN3",0.0227652886650048,0.762092924858503,0.615,0.442,1
"ANAPC16",0.0227982000133921,0.376744105807014,0.897,0.827,1
"TMEM59",0.0228410492040163,0.190250817678536,0.795,0.712,1
"SFXN2",0.0234169359967302,1.16644469125533,0.141,0.019,1
"DTX3",0.0234283175580431,0.585768767622292,0.244,0.135,1
"IL2RG",0.0237285059922417,0.181151235025557,0.962,0.846,1
"NUDT21",0.0237532191930052,0.77302089355137,0.487,0.365,1
"CD6",0.0238122475103065,0.406339069580067,0.897,0.654,1
"SELENOW",0.023970417453363,0.346798152728863,0.782,0.731,1
"POLR2F",0.0240024875705716,0.425620190109842,0.436,0.327,1
"NISCH",0.0245815192006026,-0.95082236223289,0.103,0.269,1
"ITGB1BP1",0.0246160275353737,-0.19731243106029,0.218,0.327,1
"DHRS13",0.0249571363285408,0.978373517783007,0.128,0.058,1
"SEC22A",0.0250543404034666,0.225746991266757,0.115,0.096,1
"CYB5D2",0.0250860031672656,1.53696260049495,0.103,0.019,1
"SCO1",0.0251722766110725,1.41648130409341,0.205,0.077,1
"DHPS",0.025222717845605,1.02269797406567,0.449,0.25,1
"EMP3",0.0252980990425715,-0.777972979185817,0.128,0.269,1
"RPL10",0.0253129595026616,-0.0236382474226193,1,1,1
"ZRANB1",0.0256581089827598,1.14022681677861,0.115,0.019,1
"ICAM1",0.0256581089827602,1.61045948690156,0.115,0.019,1
"RNASET2",0.0257829081328133,-0.0269204260914744,0.718,0.846,1
"BCKDHB",0.0259361886608942,0.979995589944963,0.205,0.096,1
"ABHD11",0.0260664649745467,1.06583170000021,0.141,0.038,1
"ZNF212",0.0261122580880267,0.692794793221426,0.128,0.077,1
"SRRD",0.0261122580880268,0.674082372453517,0.128,0.077,1
"BTBD10",0.0261358934620963,-0.638920887584472,0.077,0.192,1
"SP110",0.0261805721954241,-0.232203073209771,0.372,0.538,1
"RPS8",0.0261956700412315,0.0371990567097917,1,1,1
"CNN2",0.02633315251567,-0.330721699903624,0.756,0.885,1
"USP33",0.0263901388987815,-0.169995199910946,0.333,0.192,1
"GEMIN5",0.026619359645727,1.30014543071277,0.103,0,1
"USP35",0.026619359645727,1.25661926035948,0.103,0,1
"RASA4B",0.0267155099327761,-0.644841843070828,0.013,0.058,1
"AP002495.1",0.0267155099327764,-0.689719716401492,0.013,0.058,1
"AL391069.2",0.0267155099327766,-0.535447803084329,0.013,0.058,1
"LINC02132",0.0267155099327767,-0.604236799401774,0.013,0.058,1
"LINC01281",0.0268384649998501,0.47886579049172,0.282,0.192,1
"HLA-DPA1",0.0270916778714615,-0.419218701650162,0.128,0.096,1
"C1orf52",0.0275625373611895,0.674763624091567,0.282,0.192,1
"WDR44",0.0277094050919914,0.497715674455743,0.167,0.077,1
"LINC00667",0.0277490583993513,-0.392893877941002,0.128,0.231,1
"RASA3",0.0277547811925645,-0.879332883305941,0.167,0.25,1
"PPP1R9B",0.0278206361901929,-0.916130968450731,0.051,0.192,1
"AC004865.2",0.0279677306108192,-0.0679793025315811,0.128,0.115,1
"NDUFA1",0.0279962150189358,0.141387048491398,0.846,0.731,1
"AC008875.2",0.0281260928373554,-0.5297388788027,0.013,0.077,1
"ZNF880",0.0281583854049062,-0.230297570181312,0.077,0.154,1
"JARID2",0.0283907162912365,0.506201822404329,0.436,0.346,1
"PPP1CA",0.0285368498504043,0.322125693709239,0.872,0.808,1
"MT-ATP6",0.0285375345719352,0.199618508618045,1,1,1
"PIM1",0.0289530092860337,-0.0400632348689763,0.308,0.288,1
"B4GALT4",0.0289942621193289,-1.11966278532467,0.038,0.173,1
"KLF2",0.0290839517617145,-1.604584973155,0.205,0.288,1
"RNF227",0.0292466882165887,-0.512571705382038,0,0.038,1
"TNC",0.0292466882165888,-0.68396899626645,0,0.038,1
"AC144652.1",0.0292466882165888,-0.677415118992533,0,0.038,1
"HSF4",0.0292466882165888,-0.363010855514558,0,0.038,1
"KRT2",0.0292466882165888,-1.01887645749712,0,0.038,1
"IGHV1-2",0.0292466882165889,-0.440573017705096,0,0.038,1
"SPSB2",0.029246688216589,-0.690259733137947,0,0.038,1
"CD8B2",0.029246688216589,-0.409765737467486,0,0.038,1
"JAML",0.029516203704687,-1.07815249387397,0.051,0.135,1
"ATP6V0E2",0.0296903597964344,0.06404929957001,0.5,0.577,1
"DDX50",0.0297193412233993,0.233578440020858,0.449,0.308,1
"RPL18A",0.0297630426760707,-0.129111923659331,1,1,1
"GRPEL1",0.0299221326957151,1.25244794975537,0.231,0.096,1
"DDX3Y",0.0300120208120129,0.172044248889056,0.205,0.231,1
"P2RX5",0.030177667636076,0.000600224864939602,0.513,0.404,1
"AL662844.4",0.0306949443069921,-1.26405347833103,0.077,0.192,1
"CLTC",0.0307964162911096,0.633490521828835,0.385,0.365,1
"C11orf98",0.030917085058073,0.302683894755243,0.487,0.442,1
"EMC3",0.030975292406987,0.779379868133632,0.385,0.269,1
"UPF1",0.0309940632681642,-0.579833274617998,0.192,0.327,1
"GOLGA7",0.0311323477513169,0.704758329170855,0.5,0.365,1
"ZNF354B",0.0311403491782281,-0.84245387831413,0.038,0.135,1
"ORMDL3",0.0312943177348034,0.349023328068858,0.577,0.423,1
"COG2",0.0314457944764403,0.714143033322482,0.205,0.192,1
"BAG2",0.0314850783928084,1.18554826891567,0.128,0.038,1
"RPL28",0.0315130382920668,-0.0637284715366579,1,1,1
"MRPL12",0.0316183214772081,-0.206927314248295,0.141,0.269,1
"LIMD2",0.0316680366565763,0.2422004812224,0.949,0.981,1
"CBLL1",0.0316704761043427,0.934296653551551,0.269,0.115,1
"OXLD1",0.0316712427768408,-0.757765884894635,0.218,0.404,1
"KLRB1",0.031682193295875,-1.2972206660221,0.077,0.192,1
"NAP1L4",0.0317324743904404,0.629239086077959,0.692,0.558,1
"XRCC4",0.031758523770135,-0.911495750692209,0.038,0.135,1
"PPARD",0.0317696404831398,1.15015587410333,0.103,0.019,1
"ZNF789",0.0317696404831398,1.00347186073851,0.103,0.019,1
"PIEZO1",0.0317720769391911,-0.535810242607898,0.115,0.231,1
"ZNF254",0.031832773738158,0.193733665205759,0.141,0.135,1
"ITGAE",0.0318689007812614,0.87752398327534,0.462,0.365,1
"NAMPT",0.0318944613682779,1.7106018001364,0.269,0.115,1
"TSPYL2",0.0320289535903229,0.645841494726324,0.462,0.404,1
"PSMG3",0.0322341874652378,1.43710230302476,0.244,0.096,1
"TRAV39",0.0325084033394727,2.30085950023085,0.09,0,1
"ST6GAL1",0.0326304488639356,0.719213721867982,0.474,0.288,1
"SMARCA2",0.0327845514980198,-0.0838379041076419,0.346,0.442,1
"DESI1",0.032992053531724,-1.23949994405791,0.09,0.231,1
"RPL29",0.0329951124704244,0.0126731868327834,1,1,1
"ZNF174",0.0330253396151402,-0.102864847245955,0.115,0.096,1
"GLA",0.0330253396151404,0.5831482867458,0.115,0.096,1
"ERO1B",0.0330253396151408,0.0303518964658329,0.115,0.096,1
"LCP2",0.0330331625286753,0.141829601934393,0.91,0.808,1
"DPM2",0.0333935078085178,0.0872632010356991,0.321,0.288,1
"TRAM1",0.0334233077205877,0.506485416747105,0.731,0.577,1
"ZBTB14",0.0335625345714212,1.94563074174722,0.128,0,1
"AP1G2",0.0336453229829392,1.05832541442572,0.372,0.231,1
"MIS18BP1",0.0336536656881731,0.838780674737759,0.397,0.327,1
"LAMP2",0.0336854362747947,-1.09223214139951,0.103,0.308,1
"PLA2G6",0.0337931351890225,1.20073798440237,0.218,0.058,1
"TRGV3",0.0339100932074847,-0.44209029102829,0.179,0.231,1
"IMPA1",0.0339858519662054,0.144619698837753,0.205,0.192,1
"NFE2L3",0.034000516039031,-1.22262972193982,0.026,0.154,1
"UTP15",0.0342696504928978,1.44198444083901,0.115,0.019,1
"ZNF234",0.0342696504928984,1.04353468624884,0.115,0.019,1
"TPRN",0.0345167978078391,1.26518714744671,0.077,0,1
"AFF3",0.0345453556468159,0.578454501361985,0.397,0.269,1
"CHI3L2",0.0345894491777676,0.179229392559417,0.538,0.596,1
"TPT1",0.0346550324005225,-0.283989596217564,0.987,1,1
"SLC25A16",0.0347434839227088,0.17933348629479,0.192,0.135,1
