"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MIDN.3",1.89979081788916e-15,-0.314747197035349,0.415,0.406,6.9534243725561e-11,"3","MIDN"
"NSMCE3.2",4.30112416664327e-15,-0.338399447650778,0.452,0.427,1.5742544562331e-10,"3","NSMCE3"
"C16orf54.1",4.5949762373152e-15,-0.300785934653714,0.391,0.386,1.68180725261974e-10,"3","C16orf54"
"RNF139.1",5.28689140073464e-15,-0.3005158416257,0.337,0.339,1.93505512158288e-10,"3","RNF139"
"DANCR",5.63311850351346e-15,-0.271814262235388,0.273,0.293,2.06177770347096e-10,"3","DANCR"
"NFKBIZ.1",7.21489837464541e-15,-0.308940265676291,0.298,0.32,2.64072495410397e-10,"3","NFKBIZ"
"SORL1",9.14191704795221e-15,-0.268156944292738,0.331,0.351,3.34603305872099e-10,"3","SORL1"
"PRMT2.2",6.07786583147163e-14,-0.25979189794367,0.582,0.533,2.22455967297693e-09,"3","PRMT2"
"TTC39C.1",9.11097417941301e-14,-0.276465981916638,0.348,0.352,3.33470765940696e-09,"3","TTC39C"
"GABPB1-IT1",1.48173205477527e-13,-0.25504077572885,0.218,0.243,5.42328749368296e-09,"3","GABPB1-IT1"
"PRKCA",2.24339081901329e-13,-0.263472006339072,0.278,0.296,8.21103473667055e-09,"3","PRKCA"
"CRTC3",2.78829965559893e-13,-0.25564505251095,0.292,0.306,1.02054555694576e-08,"3","CRTC3"
"RASA2",4.2715906806188e-13,-0.258637752267955,0.47,0.447,1.56344490501329e-08,"3","RASA2"
"SERTAD1.1",9.51038459480033e-13,-0.287118075886229,0.258,0.274,3.48089586554287e-08,"3","SERTAD1"
"UBE2S.2",9.99662804862503e-13,-0.312200739710373,0.389,0.37,3.65886583207725e-08,"3","UBE2S"
"ALG13",4.17577457525834e-11,-0.265043878393176,0.315,0.317,1.5283752522903e-06,"3","ALG13"
"SELENOK.3",5.54201796879342e-11,-0.291552593228484,0.514,0.46,2.02843399675808e-06,"3","SELENOK"
"ID2.2",4.12661429725797e-10,-0.288268415955167,0.286,0.302,1.51038209893939e-05,"3","ID2"
